,pid,reward_cond,num_options,PriorMean,PriorVar,option01,option02,option03,option04,option05,option06,option07,option08,option09,option10,option11,option12
0,1,1.0,12,26.516666666666666,717.4463483146062,22.0,93.0,10.0,37.0,12.5,54.0,0.0,26.5,32.0,0.0,78.5,21.0
0,1,1.0,12,26.516666666666666,717.4463483146062,33.0,0.0,0.0,54.0,3.5,54.0,33.0,56.5,97.0,23.0,30.5,0.0
0,1,1.0,12,26.516666666666666,717.4463483146062,19.5,35.5,21.0,35.5,27.5,22.5,0.0,0.0,0.0,4.0,0.0,19.5
0,1,1.0,12,26.516666666666666,717.4463483146062,12.0,14.5,0.0,35.5,76.5,15.0,0.0,26.5,92.5,42.5,0.0,11.0
0,1,1.0,12,26.516666666666666,717.4463483146062,61.0,34.5,34.5,0.0,17.5,0.0,0.0,0.0,99.5,0.0,0.0,33.5
0,2,2.0,12,38.65555555555556,1076.6159800249688,61.5,64.0,93.0,0.5,99.0,45.5,2.5,51.5,40.5,83.5,63.5,4.0
0,2,2.0,12,38.65555555555556,1076.6159800249688,14.5,25.0,93.5,5.5,99.0,0.0,13.5,20.5,9.5,100.0,0.0,65.5
0,2,2.0,12,38.65555555555556,1076.6159800249688,0.0,62.0,11.5,13.5,0.0,10.5,46.0,61.5,59.0,5.5,30.0,13.0
0,2,2.0,12,38.65555555555556,1076.6159800249688,20.5,87.5,48.5,10.5,0.0,44.5,14.0,100.0,60.5,8.0,17.0,32.5
0,2,2.0,12,38.65555555555556,1076.6159800249688,22.5,59.0,100.0,24.0,11.5,49.5,16.5,21.5,34.0,1.5,49.5,83.5
0,3,1.0,12,56.07222222222222,883.2728152309613,97.5,0.0,29.0,72.5,68.0,16.0,75.5,75.5,76.0,100.0,74.5,81.5
0,3,1.0,12,56.07222222222222,883.2728152309613,83.5,70.5,78.0,73.0,17.5,78.0,45.0,33.5,75.0,80.0,14.0,0.0
0,3,1.0,12,56.07222222222222,883.2728152309613,20.0,13.0,44.5,28.0,0.0,78.5,85.0,100.0,55.5,45.0,91.5,48.0
0,3,1.0,12,56.07222222222222,883.2728152309613,66.5,83.0,84.0,89.5,59.5,80.5,0.0,71.5,80.0,86.0,66.5,72.0
0,3,1.0,12,56.07222222222222,883.2728152309613,0.0,17.0,21.5,62.0,69.5,0.0,64.5,99.0,61.0,70.0,11.0,83.0
0,4,2.0,12,29.155555555555555,753.7002496878906,0.0,63.5,69.0,0.0,0.0,67.0,100.0,0.0,59.0,0.0,35.5,8.5
0,4,2.0,12,29.155555555555555,753.7002496878906,0.0,37.0,36.0,26.0,22.5,7.0,0.0,23.0,36.5,69.0,40.5,22.0
0,4,2.0,12,29.155555555555555,753.7002496878906,0.0,33.5,41.5,55.0,0.0,5.0,5.0,36.5,57.0,0.0,37.5,33.5
0,4,2.0,12,29.155555555555555,753.7002496878906,27.0,13.5,3.0,36.0,57.0,52.0,0.0,76.5,0.0,40.5,21.5,38.0
0,4,2.0,12,29.155555555555555,753.7002496878906,0.0,91.5,0.0,24.5,36.0,55.5,0.0,27.5,28.0,7.0,26.0,92.5
0,5,1.0,12,33.522222222222226,771.6455680399503,0.5,18.0,6.5,48.0,99.5,6.5,77.5,14.0,0.0,65.0,100.0,33.5
0,5,1.0,12,33.522222222222226,771.6455680399503,53.5,0.0,49.5,29.0,0.0,27.5,2.5,0.0,30.5,55.0,78.5,56.5
0,5,1.0,12,33.522222222222226,771.6455680399503,33.5,46.5,84.0,83.0,21.5,45.0,0.0,45.5,48.0,16.5,21.0,22.0
0,5,1.0,12,33.522222222222226,771.6455680399503,84.0,55.5,28.0,0.0,22.0,41.5,4.5,57.5,0.0,28.5,58.0,1.0
0,5,1.0,12,33.522222222222226,771.6455680399503,11.0,48.5,56.0,22.5,67.0,1.0,2.0,0.0,54.0,0.0,18.0,46.5
0,6,1.0,8,29.016666666666666,555.1205056179779,21.0,11.5,83.5,27.5,8.5,16.0,24.5,96.5,0.0,0.0,0.0,0.0
0,6,1.0,8,29.016666666666666,555.1205056179779,26.5,21.5,16.5,22.0,2.0,6.0,17.5,84.0,0.0,0.0,0.0,0.0
0,6,1.0,8,29.016666666666666,555.1205056179779,37.5,19.0,24.0,90.5,23.0,6.0,31.5,17.0,0.0,0.0,0.0,0.0
0,6,1.0,8,29.016666666666666,555.1205056179779,25.0,10.5,60.0,17.0,6.0,31.0,11.5,20.0,0.0,0.0,0.0,0.0
0,6,1.0,8,29.016666666666666,555.1205056179779,14.0,25.0,26.0,9.5,70.0,36.5,15.5,22.0,0.0,0.0,0.0,0.0
0,7,1.0,12,11.516666666666667,197.55308988764043,7.0,0.0,0.0,0.0,0.0,22.5,15.5,0.0,0.0,0.0,54.0,8.5
0,7,1.0,12,11.516666666666667,197.55308988764043,0.0,2.5,0.5,23.5,3.0,10.0,8.0,1.0,4.5,33.5,11.5,0.0
0,7,1.0,12,11.516666666666667,197.55308988764043,17.0,2.0,0.0,11.0,0.0,1.0,0.0,8.5,5.0,7.5,19.5,9.0
0,7,1.0,12,11.516666666666667,197.55308988764043,2.5,30.0,11.5,9.0,15.5,39.5,0.0,0.0,0.0,3.0,0.0,29.5
0,7,1.0,12,11.516666666666667,197.55308988764043,34.5,33.5,0.0,17.5,15.5,2.0,0.0,14.0,0.0,19.5,0.0,46.0
0,8,1.0,8,30.133333333333333,636.7853932584276,3.5,69.5,28.5,64.5,86.5,98.0,28.0,92.0,0.0,0.0,0.0,0.0
0,8,1.0,8,30.133333333333333,636.7853932584276,43.0,39.0,45.0,23.0,0.5,35.5,23.0,53.0,0.0,0.0,0.0,0.0
0,8,1.0,8,30.133333333333333,636.7853932584276,45.5,52.0,29.0,3.5,20.5,34.0,29.0,64.0,0.0,0.0,0.0,0.0
0,8,1.0,8,30.133333333333333,636.7853932584276,2.5,21.0,1.5,1.5,28.5,69.5,28.5,93.5,0.0,0.0,0.0,0.0
0,8,1.0,8,30.133333333333333,636.7853932584276,29.5,36.5,0.5,48.0,1.5,11.0,0.5,0.5,0.0,0.0,0.0,0.0
0,9,1.0,8,20.566666666666666,370.03483146067407,8.0,29.0,18.0,19.5,0.5,0.5,0.5,16.5,0.0,0.0,0.0,0.0
0,9,1.0,8,20.566666666666666,370.03483146067407,0.5,30.0,19.0,0.5,0.0,17.0,20.5,23.0,0.0,0.0,0.0,0.0
0,9,1.0,8,20.566666666666666,370.03483146067407,1.0,2.5,1.0,1.5,60.0,24.5,24.0,21.5,0.0,0.0,0.0,0.0
0,9,1.0,8,20.566666666666666,370.03483146067407,75.0,41.5,32.0,2.0,0.5,23.5,1.0,0.5,0.0,0.0,0.0,0.0
0,9,1.0,8,20.566666666666666,370.03483146067407,2.0,24.5,16.0,63.5,21.5,28.0,21.5,0.5,0.0,0.0,0.0,0.0
0,10,2.0,12,34.233333333333334,967.4280898876397,25.5,100.0,0.0,38.5,51.5,66.5,33.5,23.0,29.0,99.5,0.0,41.0
0,10,2.0,12,34.233333333333334,967.4280898876397,32.0,44.5,28.0,37.0,66.0,0.0,38.5,29.5,96.0,11.5,33.5,85.5
0,10,2.0,12,34.233333333333334,967.4280898876397,0.0,0.0,94.5,22.0,32.5,0.0,0.0,29.5,68.5,0.0,26.5,36.5
0,10,2.0,12,34.233333333333334,967.4280898876397,73.5,37.0,0.0,34.5,24.5,33.5,27.0,0.0,0.0,37.5,38.0,9.0
0,10,2.0,12,34.233333333333334,967.4280898876397,16.5,36.5,41.5,60.0,0.0,98.0,50.0,81.5,64.0,0.0,0.0,29.5
0,11,1.0,8,28.366666666666667,668.5887640449441,3.5,2.0,5.0,74.5,19.0,48.0,22.5,13.0,0.0,0.0,0.0,0.0
0,11,1.0,8,28.366666666666667,668.5887640449441,40.0,27.5,3.5,3.5,19.0,66.5,23.0,0.0,0.0,0.0,0.0,0.0
0,11,1.0,8,28.366666666666667,668.5887640449441,6.5,26.5,38.0,15.0,17.0,17.5,69.5,30.5,0.0,0.0,0.0,0.0
0,11,1.0,8,28.366666666666667,668.5887640449441,1.5,4.0,70.5,41.0,1.5,4.0,61.0,31.0,0.0,0.0,0.0,0.0
0,11,1.0,8,28.366666666666667,668.5887640449441,6.0,99.5,0.0,45.5,39.0,56.0,10.0,4.0,0.0,0.0,0.0,0.0
0,12,1.0,12,23.116666666666667,626.7081460674144,0.0,91.0,0.0,45.5,33.0,59.5,84.0,9.5,29.0,0.0,0.0,9.5
0,12,1.0,12,23.116666666666667,626.7081460674144,0.0,0.0,0.0,0.0,31.5,0.0,35.5,19.0,30.0,45.0,9.0,1.0
0,12,1.0,12,23.116666666666667,626.7081460674144,0.0,52.0,94.0,29.0,0.0,100.0,12.5,18.5,63.5,28.0,59.0,0.0
0,12,1.0,12,23.116666666666667,626.7081460674144,20.0,28.5,30.0,46.5,0.0,0.0,27.5,32.0,59.5,18.5,0.0,6.5
0,12,1.0,12,23.116666666666667,626.7081460674144,29.5,17.5,0.0,0.0,0.0,28.0,0.0,29.5,45.0,50.0,8.0,0.0
0,13,1.0,12,57.84444444444444,431.9193508114857,44.5,36.5,87.5,59.0,68.0,27.5,79.0,78.0,70.0,66.5,52.0,40.5
0,13,1.0,12,57.84444444444444,431.9193508114857,90.0,68.0,8.5,38.0,62.0,82.0,61.5,69.0,65.0,66.0,73.0,97.5
0,13,1.0,12,57.84444444444444,431.9193508114857,37.0,53.5,65.0,62.0,66.0,58.5,66.0,55.5,68.0,54.5,70.0,87.5
0,13,1.0,12,57.84444444444444,431.9193508114857,68.5,24.5,36.0,79.5,75.5,58.5,65.5,38.5,53.5,33.0,95.5,21.0
0,13,1.0,12,57.84444444444444,431.9193508114857,80.5,56.0,65.0,69.0,75.0,66.5,22.5,63.0,28.0,35.0,78.0,68.5
